ល.រ ក្រុមហ៊ុន/សហគ្រាស,ល.រ មុខសញ្ញា,ឈ្មោះក្រុមហ៊ុន/សហគ្រាស,អាស័យដ្ឋានក្រុមហ៊ុន/សហគ្រាស,រាជធានី/ខេត្ត,ឈ្មោះម្ចាស់ក្រុមហ៊ុន/សហគ្រាស,តួនាទី,លេខទូរស័ព្ទ,មុខសញ្ញាជាឧបករណ៍មាត្រាសាស្ត្រ ឬទំនិញវេចខ្ចប់,ឈ្មោះឧបករណ៍មាត្រាសាស្ត្រ/ទំនិញវេចខ្ចប់,ម៉ាក/ម៉ូដែល/លេខស៊េរី,ប្រទេសផលិតដើម,ឆ្នាំផលិត,សមត្ថភាពរង្វាស់រង្វាល់,កម្រិតលម្អៀង/សុក្រឹតភាព,លេខចុះបញ្ជីមាត្រាសាស្ត្រ,ថ្ងៃ/ខែ/ឆ្នាំចុះបញ្ជីមាត្រាសាស្ត្រ,លេខវិញ្ញាបនបត្រ,ថ្ងៃ/ខែ/ឆ្នាំចាប់ផ្ដើមមានសុពលភាព,ស្ថានភាព,Verification
31,3,    ដេប៉ូប្រេងឥន្ធនៈ តេលា លីហាក់និច្ច,         ភូមិជ្រោយស្លែង  ឃុំគីរីចុងកោះ  ស្រុកគីរីវង់  ខេត្តតាកែវ,តាកែវ,លោកស្រី គឹម មុន្នីនិច្ច,ម្ចាស់ស្ថានីយប្រេង,097 877 9677,ទំនិញវេចខ្ចប់,-,-,38,0,-,,CMRC20261437,46204.20038,1437.មមជ.2026,2025-05-01,COMPLETED,y5DgpBkpbPphiF9vvJASd0VUoyjwTTq1
41,1,ដេប៉ូប្រេងឥន្ធនៈ តេលា បូរ៉ាត់ ចន្ទរ៉ា,         ភូមិស្វាយព្រៃ  ឃុំលំចង់  ស្រុកសំរោង  ខេត្តតាកែវ,តាកែវ,   លោកស្រី ងី ចន្ទរ៉ា,ម្ចាស់ស្ថានីយ៍ប្រេង,092 227 577,ឧបករណ៍មាត្រាសាស្ត្រ,ឧបករណ៍បូមប្រេង,TATSUNO SN: 344002,112,2015,45L-55L/min,+- 0.1%,CMRC20261436,46204.20274,1436.មមជ.2026,2025-10-21,COMPLETED,vY3ZJFQFQldr0bl2o7qZQzhtNT3P4sUA
41,2,ដេប៉ូប្រេងឥន្ធនៈ តេលា បូរ៉ាត់ ចន្ទរ៉ា,         ភូមិស្វាយព្រៃ  ឃុំលំចង់  ស្រុកសំរោង  ខេត្តតាកែវ,តាកែវ,   លោកស្រី ងី ចន្ទរ៉ា,ម្ចាស់ស្ថានីយ៍ប្រេង,092 227 577,ឧបករណ៍មាត្រាសាស្ត្រ,ឧបករណ៍បូមប្រេង,TATSUNO SN: 344002,42,2015,45L-55L/min,+- 0.1%,CMRC20261436,46204.20274,1436.មមជ.2026,2025-10-21,COMPLETED,vY3ZJFQFQldr0bl2o7qZQzhtNT3P4sUA
41,3,ដេប៉ូប្រេងឥន្ធនៈ តេលា បូរ៉ាត់ ចន្ទរ៉ា,         ភូមិស្វាយព្រៃ  ឃុំលំចង់  ស្រុកសំរោង  ខេត្តតាកែវ,តាកែវ,   លោកស្រី ងី ចន្ទរ៉ា,ម្ចាស់ស្ថានីយ៍ប្រេង,092 227 577,ទំនិញវេចខ្ចប់,-,-,38,0,-,,CMRC20261436,46204.20274,1436.មមជ.2026,2025-10-21,COMPLETED,vY3ZJFQFQldr0bl2o7qZQzhtNT3P4sUA
51,1,ដេប៉ូប្រេងឥន្ធនៈ តេលា ហេងម៉េងលី,       ភូមិត្រពាំងលាន  ឃុំចំបក់  ស្រុកបាទី  ខេត្តតាកែវ,តាកែវ,លោកស្រី កក ស្រីនាង,ម្ចាស់ដេប៉ូប្រេងឥន្ធនៈ,012 531 848,ឧបករណ៍មាត្រាសាស្ត្រ,ឧបករណ៍បូមប្រេង,YBB3341EA,45,2002,5L-45L/min,+ - 0.3%,CMRC20261435,46204.20297,1435.មមជ.2026,2016-11-19,COMPLETED,2wYIoVPcj4l04KwdUeuMOOKirShdysy0
51,2,ដេប៉ូប្រេងឥន្ធនៈ តេលា ហេងម៉េងលី,       ភូមិត្រពាំងលាន  ឃុំចំបក់  ស្រុកបាទី  ខេត្តតាកែវ,តាកែវ,លោកស្រី កក ស្រីនាង,ម្ចាស់ដេប៉ូប្រេងឥន្ធនៈ,012 531 848,ឧបករណ៍មាត្រាសាស្ត្រ,ឧបករណ៍បូមប្រេង,YBB3341EA,45,2002,5L-45L/min,+ - 0.3%,CMRC20261435,46204.20297,1435.មមជ.2026,2016-11-19,COMPLETED,2wYIoVPcj4l04KwdUeuMOOKirShdysy0
51,3,ដេប៉ូប្រេងឥន្ធនៈ តេលា ហេងម៉េងលី,       ភូមិត្រពាំងលាន  ឃុំចំបក់  ស្រុកបាទី  ខេត្តតាកែវ,តាកែវ,លោកស្រី កក ស្រីនាង,ម្ចាស់ដេប៉ូប្រេងឥន្ធនៈ,012 531 848,ទំនិញវេចខ្ចប់,គ្មាន,គ្មាន,38,0,0,,CMRC20261435,46204.20297,1435.មមជ.2026,2016-11-19,COMPLETED,2wYIoVPcj4l04KwdUeuMOOKirShdysy0
61,1,   ដេប៉ូប្រេងឥន្ធនៈ តេលា ស្រីពេជ្រ ដាវីន,         ភូមិអូរស្ងើន  ឃុំញ៉ែងញ៉ង  ស្រុកត្រាំកក់  ខេត្តតាកែវ,តាកែវ,លោកស្រី ពៅ ពេជ្រ,ម្ចាស់ស្ថានីយប្រេង,089 866 565,ឧបករណ៍មាត្រាសាស្ត្រ,ឧបករណ៍បូមប្រេង,RT-H222,45,2015,5L-45L/min,+0.3%,CMRC20261434,46204.20596,1434.មមជ.2026,2016-02-15,COMPLETED,cGbNJKU4AeJUJkSdya8SHk14ylpG4Gq1
61,2,   ដេប៉ូប្រេងឥន្ធនៈ តេលា ស្រីពេជ្រ ដាវីន,         ភូមិអូរស្ងើន  ឃុំញ៉ែងញ៉ង  ស្រុកត្រាំកក់  ខេត្តតាកែវ,តាកែវ,លោកស្រី ពៅ ពេជ្រ,ម្ចាស់ស្ថានីយប្រេង,089 866 565,ឧបករណ៍មាត្រាសាស្ត្រ,ឧបករណ៍បូមប្រេង,RT-H222,45,2015,5L-45L/min,+0.3%,CMRC20261434,46204.20596,1434.មមជ.2026,2016-02-15,COMPLETED,cGbNJKU4AeJUJkSdya8SHk14ylpG4Gq1
61,3,   ដេប៉ូប្រេងឥន្ធនៈ តេលា ស្រីពេជ្រ ដាវីន,         ភូមិអូរស្ងើន  ឃុំញ៉ែងញ៉ង  ស្រុកត្រាំកក់  ខេត្តតាកែវ,តាកែវ,លោកស្រី ពៅ ពេជ្រ,ម្ចាស់ស្ថានីយប្រេង,089 866 565,ទំនិញវេចខ្ចប់,-,-,38,0,-,,CMRC20261434,46204.20596,1434.មមជ.2026,2016-02-15,COMPLETED,cGbNJKU4AeJUJkSdya8SHk14ylpG4Gq1
71,1,       ដេប៉ូប្រេងឥន្ធនៈ តេលា ហេងឌី,          ភូមិពង្រ  ឃុំខ្វាវ  ស្រុកទ្រាំង  ខេត្តតាកែវ,តាកែវ,លោកស្រី ហេង ឌី,ម្ចាស់ដេប៉ូប្រេង,070 971 269,ឧបករណ៍មាត្រាសាស្ត្រ,ឧបករណ៍បូមប្រេង,TATSUNO :  033543,112,2012,45L/min-55L/min,+- 0.3 %,CMRC20261432,46204.26005,1432.មមជ.2026,2024-10-11,COMPLETED,alqxIDAUVg0MUYTuSM9NKUMB0Dd0miyT
71,2,       ដេប៉ូប្រេងឥន្ធនៈ តេលា ហេងឌី,          ភូមិពង្រ  ឃុំខ្វាវ  ស្រុកទ្រាំង  ខេត្តតាកែវ,តាកែវ,លោកស្រី ហេង ឌី,ម្ចាស់ដេប៉ូប្រេង,070 971 269,ឧបករណ៍មាត្រាសាស្ត្រ,ឧបករណ៍បូមប្រេង,TATSUNO :  033657,112,2012,45L/min-55L/min,+- 0.3 %,CMRC20261432,46204.26005,1432.មមជ.2026,2024-10-11,COMPLETED,alqxIDAUVg0MUYTuSM9NKUMB0Dd0miyT
71,3,       ដេប៉ូប្រេងឥន្ធនៈ តេលា ហេងឌី,          ភូមិពង្រ  ឃុំខ្វាវ  ស្រុកទ្រាំង  ខេត្តតាកែវ,តាកែវ,លោកស្រី ហេង ឌី,ម្ចាស់ដេប៉ូប្រេង,070 971 269,ទំនិញវេចខ្ចប់,គ្មាន,គ្មាន,38,0,គ្មាន,,CMRC20261432,46204.26005,1432.មមជ.2026,2024-10-11,COMPLETED,alqxIDAUVg0MUYTuSM9NKUMB0Dd0miyT
81,1,          ដេប៉ូប្រេងឥន្ធនៈ តារាពិដោរ,         ផ្លូវជាតិលេខ៦  ភូមិមឈាយ  ឃុំសំព្រោជ  ស្រុកស្ទោង  ខេត្តកំពង់ធំ,កំពង់ធំ,លោក ចាន់ តារា,ម្ចាស់ដេប៉ូប្រេងឥន្ធនៈ,092994757,ឧបករណ៍មាត្រាសាស្ត្រ,ម៉ាស៊ីនបូមប្រេងឥន្ធនៈ,AA249974,112,2015,5L-40L/1min,±0.5%,CMRC20261433,46205.1399,1433.មមជ.2026,2024-06-18,COMPLETED,DSx5t5OelGNmmfnk6PQU9oEwrg8oQ9JO
81,2,          ដេប៉ូប្រេងឥន្ធនៈ តារាពិដោរ,         ផ្លូវជាតិលេខ៦  ភូមិមឈាយ  ឃុំសំព្រោជ  ស្រុកស្ទោង  ខេត្តកំពង់ធំ,កំពង់ធំ,លោក ចាន់ តារា,ម្ចាស់ដេប៉ូប្រេងឥន្ធនៈ,092994757,ឧបករណ៍មាត្រាសាស្ត្រ,ម៉ាស៊ីនបូមប្រេងឥន្ធនៈ,AA249975,112,2015,5L-40L/1min,±0.5%,CMRC20261433,46205.1399,1433.មមជ.2026,2024-06-18,COMPLETED,DSx5t5OelGNmmfnk6PQU9oEwrg8oQ9JO
81,3,          ដេប៉ូប្រេងឥន្ធនៈ តារាពិដោរ,         ផ្លូវជាតិលេខ៦  ភូមិមឈាយ  ឃុំសំព្រោជ  ស្រុកស្ទោង  ខេត្តកំពង់ធំ,កំពង់ធំ,លោក ចាន់ តារា,ម្ចាស់ដេប៉ូប្រេងឥន្ធនៈ,092994757,ទំនិញវេចខ្ចប់,N/A,N/A,45,2015,N/A,,CMRC20261433,46205.1399,1433.មមជ.2026,2024-06-18,COMPLETED,DSx5t5OelGNmmfnk6PQU9oEwrg8oQ9JO
91,1,ស្ថានីយ៍ប្រេងឥន្ធនៈ តូតាល់ ​អេនើជី វេងស្រេង២,      ផ្ទះលេខ៥២ វិថីចោមចៅ  ភូមិទ្រា៤  សង្កាត់ស្ទឹងមានជ័យទី៣  ខណ្ឌមានជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,ងី សុខវល័ក,ម្ចាស់,010905537,ឧបករណ៍មាត្រាសាស្ត្រ,ឧបករណ៍បូមប្រេងទី១,1503173W07,45,2015,4.5-45L/min,+-1%,CMRC20261431,46205.39491,1431.មមជ.2026,2025-09-05,COMPLETED,pl0n3j4yWUoFH0WE85eqFBhEqxIsBSo2
91,2,ស្ថានីយ៍ប្រេងឥន្ធនៈ តូតាល់ ​អេនើជី វេងស្រេង២,      ផ្ទះលេខ៥២ វិថីចោមចៅ  ភូមិទ្រា៤  សង្កាត់ស្ទឹងមានជ័យទី៣  ខណ្ឌមានជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,ងី សុខវល័ក,ម្ចាស់,010905537,ឧបករណ៍មាត្រាសាស្ត្រ,ឧបករណ៍បូមប្រេងទី២,1503168W07,45,2015,4.5-45L/min,+-1%,CMRC20261431,46205.39491,1431.មមជ.2026,2025-09-05,COMPLETED,pl0n3j4yWUoFH0WE85eqFBhEqxIsBSo2
91,3,ស្ថានីយ៍ប្រេងឥន្ធនៈ តូតាល់ ​អេនើជី វេងស្រេង២,      ផ្ទះលេខ៥២ វិថីចោមចៅ  ភូមិទ្រា៤  សង្កាត់ស្ទឹងមានជ័យទី៣  ខណ្ឌមានជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,ងី សុខវល័ក,ម្ចាស់,010905537,ឧបករណ៍មាត្រាសាស្ត្រ,ឧបករណ៍បូមប្រេងទី៣,1503174W07,45,2015,4.5-45L/min,+-1%,CMRC20261431,46205.39491,1431.មមជ.2026,2025-09-05,COMPLETED,pl0n3j4yWUoFH0WE85eqFBhEqxIsBSo2
91,4,ស្ថានីយ៍ប្រេងឥន្ធនៈ តូតាល់ ​អេនើជី វេងស្រេង២,      ផ្ទះលេខ៥២ វិថីចោមចៅ  ភូមិទ្រា៤  សង្កាត់ស្ទឹងមានជ័យទី៣  ខណ្ឌមានជ័យ  រាជធានីភ្នំពេញ,ភ្នំពេញ,ងី សុខវល័ក,ម្ចាស់,010905537,ទំនិញវេចខ្ចប់,N/A,42,45,42,N/A,,CMRC20261431,46205.39491,1431.មមជ.2026,2025-09-05,COMPLETED,pl0n3j4yWUoFH0WE85eqFBhEqxIsBSo2
101,1,ស្ថានីយ៍ប្រេងឥន្ធនៈ តូតាល់ អេនើជី​ ស្វាយរៀង,    ក្បាលដីលេខ៤៥៦   ផ្លូវបេតុង  ភូមិកៀនសាំង  សង្កាត់ស្វាយរៀង  ក្រុងស្វាយរៀង  ខេត្តស្វាយរៀង,ស្វាយរៀង,ងី សុខវល័ក,ម្ចាស់,012905537,ឧបករណ៍មាត្រាសាស្ត្រ,ឧបករណ៍បូមប្រេងទី១,Q420/19061209W07,45,2019,4.5-45L/min,+-1%,CMRC20261430,46205.40385,1430.មមជ.2026,2025-09-05,COMPLETED,SIpvWRMEjnf54l3F3uVtXrl8DdewAVQ7
101,2,ស្ថានីយ៍ប្រេងឥន្ធនៈ តូតាល់ អេនើជី​ ស្វាយរៀង,    ក្បាលដីលេខ៤៥៦   ផ្លូវបេតុង  ភូមិកៀនសាំង  សង្កាត់ស្វាយរៀង  ក្រុងស្វាយរៀង  ខេត្តស្វាយរៀង,ស្វាយរៀង,ងី សុខវល័ក,ម្ចាស់,012905537,ឧបករណ៍មាត្រាសាស្ត្រ,ឧបករណ៍បូមប្រេងទី២,Q420/19061210W07,45,2019,4.5-45L/min,+-1%,CMRC20261430,46205.40385,1430.មមជ.2026,2025-09-05,COMPLETED,SIpvWRMEjnf54l3F3uVtXrl8DdewAVQ7
101,3,ស្ថានីយ៍ប្រេងឥន្ធនៈ តូតាល់ អេនើជី​ ស្វាយរៀង,    ក្បាលដីលេខ៤៥៦   ផ្លូវបេតុង  ភូមិកៀនសាំង  សង្កាត់ស្វាយរៀង  ក្រុងស្វាយរៀង  ខេត្តស្វាយរៀង,ស្វាយរៀង,ងី សុខវល័ក,ម្ចាស់,012905537,ឧបករណ៍មាត្រាសាស្ត្រ,ឧបករណ៍បូមប្រេងទី២,Q420/19061211W07,45,2019,4.5-45L/min,+-1%,CMRC20261430,46205.40385,1430.មមជ.2026,2025-09-05,COMPLETED,SIpvWRMEjnf54l3F3uVtXrl8DdewAVQ7
101,4,ស្ថានីយ៍ប្រេងឥន្ធនៈ តូតាល់ អេនើជី​ ស្វាយរៀង,    ក្បាលដីលេខ៤៥៦   ផ្លូវបេតុង  ភូមិកៀនសាំង  សង្កាត់ស្វាយរៀង  ក្រុងស្វាយរៀង  ខេត្តស្វាយរៀង,ស្វាយរៀង,ងី សុខវល័ក,ម្ចាស់,012905537,ទំនិញវេចខ្ចប់,N/A,42,45,42,N/A,,CMRC20261430,46205.40385,1430.មមជ.2026,2025-09-05,COMPLETED,SIpvWRMEjnf54l3F3uVtXrl8DdewAVQ7
111,1,  ស្ថានីយ៍ប្រេងឥន្ធនៈ តូតាល់ អេនើជី គួរស្រូវ,      ផ្លូវជាតិលេខ២  កែងមហាវិថីសម្តេចព្រះមុនីរ៉េត (217)  ភូមិព្រែកកំពឹស  សង្កាត់ព្រែកកំពឹស  ខណ្ឌដង្កោ  រាជធានីភ្នំពេញ,ភ្នំពេញ,ហាក់ សម្បត្តិ,ម្ចាស់,012905537,ឧបករណ៍មាត្រាសាស្ត្រ,ឧបករណ៍បូមប្រេងទី១,1902625ឺW07,45,2019,4.5-45L/min,+-1%,CMRC20261429,46205.41558,1429.មមជ.2026,2025-05-02,COMPLETED,G4UUIhtsCnUFDf07LbOEKiJOPHZmf9On
111,2,  ស្ថានីយ៍ប្រេងឥន្ធនៈ តូតាល់ អេនើជី គួរស្រូវ,      ផ្លូវជាតិលេខ២  កែងមហាវិថីសម្តេចព្រះមុនីរ៉េត (217)  ភូមិព្រែកកំពឹស  សង្កាត់ព្រែកកំពឹស  ខណ្ឌដង្កោ  រាជធានីភ្នំពេញ,ភ្នំពេញ,ហាក់ សម្បត្តិ,ម្ចាស់,012905537,ឧបករណ៍មាត្រាសាស្ត្រ,ឧបករណ៍បូមប្រេងទី២,1811138W07,45,2018,4.5-45L/min,+-1%,CMRC20261429,46205.41558,1429.មមជ.2026,2025-05-02,COMPLETED,G4UUIhtsCnUFDf07LbOEKiJOPHZmf9On
111,3,  ស្ថានីយ៍ប្រេងឥន្ធនៈ តូតាល់ អេនើជី គួរស្រូវ,      ផ្លូវជាតិលេខ២  កែងមហាវិថីសម្តេចព្រះមុនីរ៉េត (217)  ភូមិព្រែកកំពឹស  សង្កាត់ព្រែកកំពឹស  ខណ្ឌដង្កោ  រាជធានីភ្នំពេញ,ភ្នំពេញ,ហាក់ សម្បត្តិ,ម្ចាស់,012905537,ឧបករណ៍មាត្រាសាស្ត្រ,ឧបករណ៍បូមប្រេងទី៣,1811137W07,45,2018,4.5-45L/min,+-1%,CMRC20261429,46205.41558,1429.មមជ.2026,2025-05-02,COMPLETED,G4UUIhtsCnUFDf07LbOEKiJOPHZmf9On
111,4,  ស្ថានីយ៍ប្រេងឥន្ធនៈ តូតាល់ អេនើជី គួរស្រូវ,      ផ្លូវជាតិលេខ២  កែងមហាវិថីសម្តេចព្រះមុនីរ៉េត (217)  ភូមិព្រែកកំពឹស  សង្កាត់ព្រែកកំពឹស  ខណ្ឌដង្កោ  រាជធានីភ្នំពេញ,ភ្នំពេញ,ហាក់ សម្បត្តិ,ម្ចាស់,012905537,ទំនិញវេចខ្ចប់,N/A,42,45,42,N/A,,CMRC20261429,46205.41558,1429.មមជ.2026,2025-05-02,COMPLETED,G4UUIhtsCnUFDf07LbOEKiJOPHZmf9On
121,1,      ហាយ-ស៊ីនើជី អ៊ិនធើណេសិនណល ហ្គាម៉ិន,   # ផ្លូវលេខ៩០៧ ដីឡូត៍លេខ៥៨៧   ភូមិបឹងសាឡាង  សង្កាត់ឫស្សីកែវ  ខណ្ឌឫស្សីកែវ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Mr. CHEN HUAQIN,នាយកក្រុមហ៊ុន ,012 789 719,ឧបករណ៍មាត្រាសាស្ត្រ,Plate form Balance ,TC-150 ,45,2023,Pmax= 150Kg,d=10g,CMRC20261445,46206.16775,1445.មមជ.2026,2024-11-21,COMPLETED,akLAiEkZ7xPAScRKE8jeHqKfhAQYG13k
121,2,      ហាយ-ស៊ីនើជី អ៊ិនធើណេសិនណល ហ្គាម៉ិន,   # ផ្លូវលេខ៩០៧ ដីឡូត៍លេខ៥៨៧   ភូមិបឹងសាឡាង  សង្កាត់ឫស្សីកែវ  ខណ្ឌឫស្សីកែវ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Mr. CHEN HUAQIN,នាយកក្រុមហ៊ុន ,012 789 719,ឧបករណ៍មាត្រាសាស្ត្រ,Electronic Balane ,ZC- 100,45,2025,Pmax=100 Kg,d=10g,CMRC20261445,46206.16775,1445.មមជ.2026,2024-11-21,COMPLETED,akLAiEkZ7xPAScRKE8jeHqKfhAQYG13k
121,3,      ហាយ-ស៊ីនើជី អ៊ិនធើណេសិនណល ហ្គាម៉ិន,   # ផ្លូវលេខ៩០៧ ដីឡូត៍លេខ៥៨៧   ភូមិបឹងសាឡាង  សង្កាត់ឫស្សីកែវ  ខណ្ឌឫស្សីកែវ  រាជធានីភ្នំពេញ,ភ្នំពេញ,Mr. CHEN HUAQIN,នាយកក្រុមហ៊ុន ,012 789 719,ឧបករណ៍មាត្រាសាស្ត្រ,Steel Ruller ,ST,45,2020,V= 1000mm,NA,CMRC20261445,46206.16775,1445.មមជ.2026,2024-11-21,COMPLETED,akLAiEkZ7xPAScRKE8jeHqKfhAQYG13k
